,job_title,company,location,salary,posted,date_extracted
3593,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:49.708641
3594,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:49.708641
3595,Data Scientist,Andor Health,"Orlando, FL 32811 (Eagles Nest area)",,Today,2020-04-19 17:33:49.709638
3596,Lead Data Scientist,CPNET,"Harrisburg, PA","$85,000 - $95,000 a year",16 days ago,2020-04-19 17:33:49.710635
3597,Data Scientist/Analytics Consultant,Deloitte,"Arlington, VA 22209 (North Rosslyn area)",,5 days ago,2020-04-19 17:33:49.712631
3598,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:49.713627
3599,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,17 days ago,2020-04-19 17:33:49.713627
3600,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:49.714624
3601,Data Scientist,Getronics,"Atlanta, GA",$50 - $55 an hour,19 days ago,2020-04-19 17:33:49.714624
3602,Junior Data Scientist | TS/SCI,Connect Talent Solutions,"Springfield, MA",,30+ days ago,2020-04-19 17:33:49.715621
3603,Data Scientist,West Creek Financial,"Washington, DC",,1 day ago,2020-04-19 17:33:49.715621
3604,Data Scientist,Source Enterprises,"New York, NY",,30+ days ago,2020-04-19 17:33:49.716619
3605,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:49.716619
3606,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:49.717616
3607,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:49.717616
3608,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:49.718613
3609,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:49.718613
3610,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:49.719611
3611,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:49.719611
3612,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:49.720608
3613,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:49.721606
3614,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,2 days ago,2020-04-19 17:33:49.721606
3615,Data Science Intern,Dolphin,"New York, NY 10014 (SoHo area)",$25 an hour,30+ days ago,2020-04-19 17:33:49.721606
3616,Data Entry Clerk,Liveops,"Mahopac, NY",,5 days ago,2020-04-19 17:33:49.722603
3617,Data Scientist / Statistician / Economist,Apple,"Santa Clara Valley, CA 95014",,24 days ago,2020-04-19 17:33:49.724600
3618,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",,16 days ago,2020-04-19 17:33:49.724600
3619,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",17 days ago,2020-04-19 17:33:49.725595
3620,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",,30+ days ago,2020-04-19 17:33:49.725595
3621,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:49.726593
3622,Data Science Intern,Prospect 33,"New York, NY",,1 day ago,2020-04-19 17:33:49.726593
3623,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:49.727593
3624,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:49.728587
3625,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:49.728587
3626,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:49.729585
3627,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:49.729585
3628,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:49.730582
3629,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:49.731579
3630,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:49.731579
3631,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:49.732576
3632,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:49.732576
3633,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:49.733574
3634,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:49.733574
3635,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:49.734574
3636,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,2 days ago,2020-04-19 17:33:49.734574
3637,Data Science Intern,Dolphin,"New York, NY 10014 (SoHo area)",$25 an hour,30+ days ago,2020-04-19 17:33:49.735569
3638,Data Entry Clerk,Liveops,"Mahopac, NY",,5 days ago,2020-04-19 17:33:49.736574
3639,Data Scientist / Statistician / Economist,Apple,"Santa Clara Valley, CA 95014",,24 days ago,2020-04-19 17:33:49.736574
3640,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",,16 days ago,2020-04-19 17:33:49.737564
3641,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",17 days ago,2020-04-19 17:33:49.737564
3642,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",,30+ days ago,2020-04-19 17:33:49.738562
3643,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:49.739560
3644,Data Science Intern,Prospect 33,"New York, NY",,1 day ago,2020-04-19 17:33:49.740559
3645,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:49.741558
3646,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:49.742553
3647,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:49.743547
3648,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:49.743547
3649,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:49.744544
3650,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:49.744544
3651,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:49.745542
3652,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,2 days ago,2020-04-19 17:33:49.745542
3653,Data Science Intern,Dolphin,"New York, NY 10014 (SoHo area)",$25 an hour,30+ days ago,2020-04-19 17:33:49.746539
3654,Data Entry Clerk,Liveops,"Mahopac, NY",,5 days ago,2020-04-19 17:33:49.746539
3655,Data Scientist / Statistician / Economist,Apple,"Santa Clara Valley, CA 95014",,24 days ago,2020-04-19 17:33:49.747537
3656,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",,16 days ago,2020-04-19 17:33:49.748535
3657,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",17 days ago,2020-04-19 17:33:49.748535
3658,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",,30+ days ago,2020-04-19 17:33:49.749532
3659,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:49.749532
3660,Data Science Intern,Prospect 33,"New York, NY",,1 day ago,2020-04-19 17:33:49.750529
3661,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:49.750529
3662,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:49.751526
3663,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:49.751526
3664,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:49.752523
3665,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:49.753520
3666,Senior Data Scientist,Humana,,,30+ days ago,2020-04-19 17:33:49.753520
3667,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:49.754518
3668,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:49.754518
3669,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:49.755515
3670,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:49.755515
3671,Data Scientist,Andor Health,"Orlando, FL 32811 (Eagles Nest area)",,Today,2020-04-19 17:33:49.756512
3672,Lead Data Scientist,CPNET,"Harrisburg, PA","$85,000 - $95,000 a year",16 days ago,2020-04-19 17:33:49.756512
3673,Data Scientist/Analytics Consultant,Deloitte,"Arlington, VA 22209 (North Rosslyn area)",,5 days ago,2020-04-19 17:33:49.757510
3674,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:49.757510
3675,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,17 days ago,2020-04-19 17:33:49.758508
3676,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:49.758508
3677,Data Scientist,Getronics,"Atlanta, GA",$50 - $55 an hour,19 days ago,2020-04-19 17:33:49.759504
3678,Junior Data Scientist | TS/SCI,Connect Talent Solutions,"Springfield, MA",,30+ days ago,2020-04-19 17:33:49.759504
3679,Data Scientist,West Creek Financial,"Washington, DC",,1 day ago,2020-04-19 17:33:49.760502
3680,Data Scientist,Source Enterprises,"New York, NY",,30+ days ago,2020-04-19 17:33:49.760502
3681,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:49.761499
3682,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:49.761499
3683,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:49.762496
3684,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:49.762496
3685,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:49.763493
