,job_title,company,location,salary,posted,date_extracted
0,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:47.677877
1,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:47.678875
2,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:47.679872
3,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:47.680870
4,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:47.680870
5,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:47.681867
6,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:47.682864
7,Data Scientist,Andor Health,"Orlando, FL 32811 (Eagles Nest area)",,Today,2020-04-19 17:33:47.682864
8,Lead Data Scientist,CPNET,"Harrisburg, PA","$85,000 - $95,000 a year",16 days ago,2020-04-19 17:33:47.683862
9,Data Scientist/Analytics Consultant,Deloitte,"Arlington, VA 22209 (North Rosslyn area)",,5 days ago,2020-04-19 17:33:47.684858
10,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:47.684858
11,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,17 days ago,2020-04-19 17:33:47.685856
12,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:47.685856
13,Data Scientist,Getronics,"Atlanta, GA",$50 - $55 an hour,19 days ago,2020-04-19 17:33:47.686853
14,Junior Data Scientist | TS/SCI,Connect Talent Solutions,"Springfield, MA",,30+ days ago,2020-04-19 17:33:47.687851
15,Data Scientist,West Creek Financial,"Washington, DC",,1 day ago,2020-04-19 17:33:47.687851
16,Data Scientist,Source Enterprises,"New York, NY",,30+ days ago,2020-04-19 17:33:47.688848
17,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:47.689845
18,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:47.689845
19,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:47.690843
20,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:47.691840
21,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:47.691840
22,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:47.692837
23,Data Scientist,Andor Health,"Orlando, FL 32811 (Eagles Nest area)",,Today,2020-04-19 17:33:47.693835
24,Lead Data Scientist,CPNET,"Harrisburg, PA","$85,000 - $95,000 a year",16 days ago,2020-04-19 17:33:47.693835
25,Data Scientist/Analytics Consultant,Deloitte,"Arlington, VA 22209 (North Rosslyn area)",,5 days ago,2020-04-19 17:33:47.694832
26,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:47.694832
27,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,17 days ago,2020-04-19 17:33:47.695829
28,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:47.696827
29,Data Scientist,Getronics,"Atlanta, GA",$50 - $55 an hour,19 days ago,2020-04-19 17:33:47.696827
30,Junior Data Scientist | TS/SCI,Connect Talent Solutions,"Springfield, MA",,30+ days ago,2020-04-19 17:33:47.697824
31,Data Scientist,West Creek Financial,"Washington, DC",,1 day ago,2020-04-19 17:33:47.698821
32,Data Scientist,Source Enterprises,"New York, NY",,30+ days ago,2020-04-19 17:33:47.698821
33,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:47.699818
34,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:47.700816
35,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:47.700816
36,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:47.701813
37,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:47.702811
38,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:47.703809
39,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:47.704805
40,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:47.705803
41,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:47.706800
42,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:47.706800
43,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:47.707799
44,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:47.708796
45,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,2 days ago,2020-04-19 17:33:47.710790
46,Data Science Intern,Dolphin,"New York, NY 10014 (SoHo area)",$25 an hour,30+ days ago,2020-04-19 17:33:47.710790
47,Data Entry Clerk,Liveops,"Mahopac, NY",,5 days ago,2020-04-19 17:33:47.711788
48,Data Scientist / Statistician / Economist,Apple,"Santa Clara Valley, CA 95014",,24 days ago,2020-04-19 17:33:47.712784
49,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",,16 days ago,2020-04-19 17:33:47.713783
50,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",17 days ago,2020-04-19 17:33:47.713783
51,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",,30+ days ago,2020-04-19 17:33:47.714779
52,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:47.714779
53,Data Science Intern,Prospect 33,"New York, NY",,1 day ago,2020-04-19 17:33:47.715776
54,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:47.715776
55,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:47.716773
56,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:47.716773
57,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:47.717771
58,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:47.718768
59,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:47.718768
60,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:47.719766
61,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,2 days ago,2020-04-19 17:33:47.719766
62,Data Science Intern,Dolphin,"New York, NY 10014 (SoHo area)",$25 an hour,30+ days ago,2020-04-19 17:33:47.720763
63,Data Entry Clerk,Liveops,"Mahopac, NY",,5 days ago,2020-04-19 17:33:47.721763
64,Data Scientist / Statistician / Economist,Apple,"Santa Clara Valley, CA 95014",,24 days ago,2020-04-19 17:33:47.721763
65,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",,16 days ago,2020-04-19 17:33:47.722757
66,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",17 days ago,2020-04-19 17:33:47.722757
67,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",,30+ days ago,2020-04-19 17:33:47.723755
68,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:47.724753
69,Data Science Intern,Prospect 33,"New York, NY",,1 day ago,2020-04-19 17:33:47.724753
70,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:47.725751
71,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:47.726748
72,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:47.727745
73,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:47.727745
74,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:47.728743
75,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:47.729739
76,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:47.730263
77,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:47.730736
78,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:47.731734
79,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:47.731734
80,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,2 days ago,2020-04-19 17:33:47.732731
81,Data Science Intern,Dolphin,"New York, NY 10014 (SoHo area)",$25 an hour,30+ days ago,2020-04-19 17:33:47.732731
82,Data Entry Clerk,Liveops,"Mahopac, NY",,5 days ago,2020-04-19 17:33:47.733728
83,Data Scientist / Statistician / Economist,Apple,"Santa Clara Valley, CA 95014",,24 days ago,2020-04-19 17:33:47.733728
84,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",,16 days ago,2020-04-19 17:33:47.735241
85,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",17 days ago,2020-04-19 17:33:47.735241
86,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",,30+ days ago,2020-04-19 17:33:47.736229
87,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:47.736229
88,Data Science Intern,Prospect 33,"New York, NY",,1 day ago,2020-04-19 17:33:47.737226
89,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:47.737226
90,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:47.738223
91,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:47.738223
92,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:47.739222
93,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:47.739222
94,Senior Data Scientist,Humana,,,30+ days ago,2020-04-19 17:33:47.740218
95,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:47.741216
96,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:47.742215
97,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:47.743211
98,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:47.744207
99,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,2 days ago,2020-04-19 17:33:47.744207
100,Data Science Intern,Dolphin,"New York, NY 10014 (SoHo area)",$25 an hour,30+ days ago,2020-04-19 17:33:47.745204
101,Data Entry Clerk,Liveops,"Mahopac, NY",,5 days ago,2020-04-19 17:33:47.745204
102,Data Scientist / Statistician / Economist,Apple,"Santa Clara Valley, CA 95014",,24 days ago,2020-04-19 17:33:47.746202
103,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",,16 days ago,2020-04-19 17:33:47.747199
104,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",17 days ago,2020-04-19 17:33:47.747199
105,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",,30+ days ago,2020-04-19 17:33:47.748196
106,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:47.748196
107,Data Science Intern,Prospect 33,"New York, NY",,1 day ago,2020-04-19 17:33:47.749193
108,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:47.749193
109,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:47.750191
110,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:47.750191
111,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:47.751188
112,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:47.751188
113,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:47.752185
114,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:47.753183
115,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:47.753183
116,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:47.754182
117,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:47.754182
118,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,2 days ago,2020-04-19 17:33:47.755178
119,Data Science Intern,Dolphin,"New York, NY 10014 (SoHo area)",$25 an hour,30+ days ago,2020-04-19 17:33:47.755178
120,Data Entry Clerk,Liveops,"Mahopac, NY",,5 days ago,2020-04-19 17:33:47.756175
121,Data Scientist / Statistician / Economist,Apple,"Santa Clara Valley, CA 95014",,24 days ago,2020-04-19 17:33:47.756175
122,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",,16 days ago,2020-04-19 17:33:47.757173
123,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",17 days ago,2020-04-19 17:33:47.757173
124,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",,30+ days ago,2020-04-19 17:33:47.758171
125,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:47.758171
126,Data Science Intern,Prospect 33,"New York, NY",,1 day ago,2020-04-19 17:33:47.759167
127,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:47.760164
128,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:47.760164
129,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:47.760164
130,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:47.761162
131,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:47.762159
132,Senior Data Scientist,Humana,,,30+ days ago,2020-04-19 17:33:47.762159
133,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:47.763156
134,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:47.763666
135,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:47.763666
136,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:47.764658
137,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:47.764658
138,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:47.765655
139,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:47.766652
140,Data Scientist,Andor Health,"Orlando, FL 32811 (Eagles Nest area)",,Today,2020-04-19 17:33:47.766652
141,Lead Data Scientist,CPNET,"Harrisburg, PA","$85,000 - $95,000 a year",16 days ago,2020-04-19 17:33:47.766652
142,Data Scientist/Analytics Consultant,Deloitte,"Arlington, VA 22209 (North Rosslyn area)",,5 days ago,2020-04-19 17:33:47.767649
143,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:47.767649
144,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,17 days ago,2020-04-19 17:33:47.768647
145,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:47.770642
146,Data Scientist,Getronics,"Atlanta, GA",$50 - $55 an hour,19 days ago,2020-04-19 17:33:47.770642
147,Junior Data Scientist | TS/SCI,Connect Talent Solutions,"Springfield, MA",,30+ days ago,2020-04-19 17:33:47.771639
148,Data Scientist,West Creek Financial,"Washington, DC",,1 day ago,2020-04-19 17:33:47.771639
149,Data Scientist,Source Enterprises,"New York, NY",,30+ days ago,2020-04-19 17:33:47.772636
150,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:47.772636
151,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:47.773633
152,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:47.773633
153,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:47.774631
154,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:47.774631
155,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:47.775628
156,Data Scientist,Andor Health,"Orlando, FL 32811 (Eagles Nest area)",,Today,2020-04-19 17:33:47.775628
157,Lead Data Scientist,CPNET,"Harrisburg, PA","$85,000 - $95,000 a year",16 days ago,2020-04-19 17:33:47.776625
158,Data Scientist/Analytics Consultant,Deloitte,"Arlington, VA 22209 (North Rosslyn area)",,5 days ago,2020-04-19 17:33:47.776625
159,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:47.777623
160,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,17 days ago,2020-04-19 17:33:47.777623
161,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:47.778620
162,Data Scientist,Getronics,"Atlanta, GA",$50 - $55 an hour,19 days ago,2020-04-19 17:33:47.778620
163,Junior Data Scientist | TS/SCI,Connect Talent Solutions,"Springfield, MA",,30+ days ago,2020-04-19 17:33:47.779618
164,Data Scientist,West Creek Financial,"Washington, DC",,1 day ago,2020-04-19 17:33:47.779618
165,Data Scientist,Source Enterprises,"New York, NY",,30+ days ago,2020-04-19 17:33:47.780615
166,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:47.780615
167,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:47.781612
168,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:47.781612
169,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:47.782610
170,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:47.783608
171,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:47.783608
172,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:47.784605
173,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:47.784605
174,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:47.785602
175,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:47.785602
176,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:47.786599
177,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:47.787596
178,Data Scientist,Andor Health,"Orlando, FL 32811 (Eagles Nest area)",,Today,2020-04-19 17:33:47.787596
179,Lead Data Scientist,CPNET,"Harrisburg, PA","$85,000 - $95,000 a year",16 days ago,2020-04-19 17:33:47.787596
180,Data Scientist/Analytics Consultant,Deloitte,"Arlington, VA 22209 (North Rosslyn area)",,5 days ago,2020-04-19 17:33:47.788594
181,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:47.789591
182,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,17 days ago,2020-04-19 17:33:47.789591
183,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:47.789591
184,Data Scientist,Getronics,"Atlanta, GA",$50 - $55 an hour,19 days ago,2020-04-19 17:33:47.790588
185,Junior Data Scientist | TS/SCI,Connect Talent Solutions,"Springfield, MA",,30+ days ago,2020-04-19 17:33:47.790588
186,Data Scientist,West Creek Financial,"Washington, DC",,1 day ago,2020-04-19 17:33:47.791586
187,Data Scientist,Source Enterprises,"New York, NY",,30+ days ago,2020-04-19 17:33:47.791586
188,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:47.792583
189,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:47.792583
190,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:47.793580
191,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:47.794577
192,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:47.794577
193,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:47.795575
194,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:47.795575
195,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:47.796572
196,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:47.796572
197,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,2 days ago,2020-04-19 17:33:47.797569
198,Data Science Intern,Dolphin,"New York, NY 10014 (SoHo area)",$25 an hour,30+ days ago,2020-04-19 17:33:47.797569
199,Data Entry Clerk,Liveops,"Mahopac, NY",,5 days ago,2020-04-19 17:33:47.798567
200,Data Scientist / Statistician / Economist,Apple,"Santa Clara Valley, CA 95014",,24 days ago,2020-04-19 17:33:47.798567
201,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",,16 days ago,2020-04-19 17:33:47.799564
202,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",17 days ago,2020-04-19 17:33:47.799564
203,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",,30+ days ago,2020-04-19 17:33:47.800562
204,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:47.800562
205,Data Science Intern,Prospect 33,"New York, NY",,1 day ago,2020-04-19 17:33:47.801559
206,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:47.801559
207,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:47.803562
208,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:47.803562
209,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:47.804553
210,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:47.805549
211,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:47.806550
212,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:47.807543
213,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,2 days ago,2020-04-19 17:33:47.808541
214,Data Science Intern,Dolphin,"New York, NY 10014 (SoHo area)",$25 an hour,30+ days ago,2020-04-19 17:33:47.808541
215,Data Entry Clerk,Liveops,"Mahopac, NY",,5 days ago,2020-04-19 17:33:47.809539
216,Data Scientist / Statistician / Economist,Apple,"Santa Clara Valley, CA 95014",,24 days ago,2020-04-19 17:33:47.809539
217,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",,16 days ago,2020-04-19 17:33:47.810536
218,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",17 days ago,2020-04-19 17:33:47.810536
219,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",,30+ days ago,2020-04-19 17:33:47.811533
220,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:47.811533
221,Data Science Intern,Prospect 33,"New York, NY",,1 day ago,2020-04-19 17:33:47.812530
222,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:47.812530
223,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:47.813528
224,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:47.813528
225,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:47.814525
226,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:47.814525
227,Senior Data Scientist,Humana,,,30+ days ago,2020-04-19 17:33:47.815522
228,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:47.816519
229,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:47.817517
230,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:47.817517
231,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:47.818514
232,Data Scientist,Andor Health,"Orlando, FL 32811 (Eagles Nest area)",,Today,2020-04-19 17:33:47.818514
233,Lead Data Scientist,CPNET,"Harrisburg, PA","$85,000 - $95,000 a year",16 days ago,2020-04-19 17:33:47.819511
234,Data Scientist/Analytics Consultant,Deloitte,"Arlington, VA 22209 (North Rosslyn area)",,5 days ago,2020-04-19 17:33:47.820512
235,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:47.821507
236,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,17 days ago,2020-04-19 17:33:47.821507
237,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:47.822504
238,Data Scientist,Getronics,"Atlanta, GA",$50 - $55 an hour,19 days ago,2020-04-19 17:33:47.822504
239,Junior Data Scientist | TS/SCI,Connect Talent Solutions,"Springfield, MA",,30+ days ago,2020-04-19 17:33:47.823501
240,Data Scientist,West Creek Financial,"Washington, DC",,1 day ago,2020-04-19 17:33:47.823501
241,Data Scientist,Source Enterprises,"New York, NY",,30+ days ago,2020-04-19 17:33:47.824498
242,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:47.824498
243,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:47.825495
244,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:47.825495
245,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:47.826493
246,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:47.827490
